ROTO Header[281]*******.0.108:41620
MSG Header[257]0xbabeface-13-1797792923-1
Module Header[249]0x1-0-0:0-30-1-0
-SliceHead:0-1-0-0
-PacketHead:0xbabeface-25-8-217-Data:859256161-GCMNonce[0000001911828ecc35d1aeae]-281-189:*******
10-25 17:26:04.857|CloudLinkMqttAsyncPublish|714|[I]:mqtt async pub
10-25 17:26:04.858|MagicLinkRptStatusToCloud|676|[I]:pub succ
10-25 17:26:04.858|ReportOtaServiceStatus|791|[I]:succ
10-25 17:26:04.861|LocalCmdProcess|966|[I]:mqtt pub
10-25 17:26:04.914|CloudLinkMqttPublish|1372|[I]:ret:0 qos:1,packetId:56
10-25 17:26:05.029|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:05.062|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:05.089|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:05.124|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:05.158|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:05.186|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:05.221|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:05.257|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:05.284|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:05.321|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:05.355|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:05.384|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:05.419|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:05.453|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:05.480|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:05.515|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:05.551|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:05.578|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:05.612|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:05.649|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:05.677|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:05.718|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:05.752|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:05.779|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:05.813|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:05.847|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:05.874|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:05.911|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:05.947|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:05.973|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:06.014|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:06.047|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:06.074|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:06.121|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:06.154|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:06.181|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:06.218|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:06.253|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:06.279|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:07.535|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:07.570|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:07.598|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:07.638|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:07.674|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:07.701|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:07.739|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:07.773|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:07.800|ConnectionHttpSend|143|[I]:send succ
